	SORU 	CEVAP
12	Ben geçen sene BTU100 dersinden kalmıştım fakat bu seneki muafiyet sınavıyla bu dersi verdim. Ben ders seçimimi yaparken tekrar edilmesi gereken dersmiş gibi gözüküyor alırsam muafiyet sınavını geçtiğim için sistemde muaf diye mi gözükürüm yoksa direkt sistem almamı zorladığı halde almamalı mıyım ? Cevap verirseniz çok sevinirim şimdiden çok teşekkürler.	Geçen yıl BTU100 dersinden kaldıysanız ve bu yıl muafiyet sınavıyla dersi geçtiyseniz, sistemde muaf görünmeniz gerekir. Ancak, ders seçiminde sistemin sizi tekrar almanızı zorlaması durumunda, muafiyetinizi belgelemek için öğrenci işlerine başvurmalısınız. Bu durumda, muafiyet sınavını geçtiğinizi kanıtlayan belgeleri sunarak durumu açıklamanız faydalı olacaktır.
13	Güzel sanatlar ve Mimarlık Fakültesi Çizgi Film Ve Animasyon Bölümü Öğrencisiyim BTU dersimi alabilmem için kontenjan artırımı talep ediyorum.	Güzel Sanatlar ve Mimarlık Fakültesi Çizgi Film ve Animasyon bölümü öğrencisi olarak BTU dersiniz için kontenjan artırımı talep ediyorsanız, bu isteğinizi ilgili bölüm başkanlığına veya öğrenci işlerine iletmeniz gerekmektedir. Genellikle kontenjan artırımı talepleri resmi bir yazı ile yapılır.
14	Bilgisayar muhafiyet sınavına nasıl gireceğim aceba	Bilgisayar muafiyet sınavına girmek için öncelikle kayıtlı olduğunuz dersin detaylarını kontrol edin. Sınav genellikle çevrimiçi olarak yapılmaktadır; bu nedenle gerekli bağlantıları ve giriş bilgilerini öğrenci işlerinden veya ilgili bölümden almanız önemlidir
15	Merhabalar , office üye olurken @mail.baskent.edu.tr etki alanı ile üye oldum. Daha sonra @ogr.baskent.edu.tr ile üye olunması gerektiğini farkettim. Tekrardan @ogr ile üye olmaya çalıştığımda bir hesabınız var uyarısı veriyor ve şifre istiyor. Şifre sıfırla dediğimde yöneticinizle iletişime geçin diyor sistem. Konuyla ilgili bilgi vermenizi arz ederim.	@mail.baskent.edu.tr etki alanıyla üye olduktan sonra @ogr.baskent.edu.tr ile tekrar üye olmaya çalışıyorsanız ve şifre sıfırlama işlemi yapamıyorsanız, IT destek birimiyle iletişime geçmeniz gerekecektir. Bu tür durumlarda genellikle hesap yönetimiyle ilgili sorunlar yaşanabilir.
16	Merhabalar sınava girmek için bize bir link vermeniz gerekiyor galiba ben pazar günü btu sınavına giricem ama microsoftteams'den nasıl girileceğini bulamadım bana açıklarsanız çok sevinirim	BTU sınavına girmek için Microsoft Teams üzerinden nasıl giriş yapacağınızı öğrenmek istiyorsanız, genellikle sınav günü için öğretim elemanları tarafından sağlanan bir bağlantı olmalıdır. Bu bağlantıyı aldıktan sonra Teams üzerinden oturum açarak sınava katılabilirsiniz.
17	Merhabalar, Ben Damla Zeynep Güngör. Geçen hafta okulunuza yatay geçiş yaptım. Bu sebeple de 11 Eylülde olan BTU100 Muafiyet sınavına girmem gerektiği söylendi. BUOBS sistemine girdiğimde bu sınava başvuru açılmıyor. İletişim numaranızdan aradım ama açan olmadı. Yardımcı olabilirseniz çok sevinirim.	Yatay geçiş yaptığınız için BTU100 muafiyet sınavına başvuru açılmadığını belirtiyorsunuz. Bu durumda, öğrenci işlerine veya ilgili bölümle acil olarak iletişime geçerek durumu açıklamanız ve yardım talep etmeniz önemlidir.
18	Warning: oci_execute(): ORA-06550: satır 1, sütun 15: PLS-00306: 'TUS_LISTELE_DERS' çağrısındaki bağımsız değişken türlerinin sayısı yanlış ORA-06550: satır 1, sütun 7: PL/SQL: Statement ignored in /var/www/secure/db_oracle.php on line 129 Warning: OCI-Lob::load(): OCI_INVALID_HANDLE in /var/www/html/buobs/system/islem/bolum_dersleri.php on line 75 Merhaba Çizgi Film ve Animasyon 1. sınıf öğrencisiyim ismim Çağrı Furkan Aslan, yaz okulu bölüm derslerine bakmak istediğim zaman üsteki uyarıyı veriyor bunun ne anlama geldiğini anlamadım ve yazılımsal bir şey olduğunu düşündüğüm için size sormak ve paylaşmak istedim, sormak istediğim açılan ders mi yok yoksa ücret yatırmadığım için mi böyle bir uyarı çıkıyor yoksa ikisi ile de bir alakası yok mu, yardımcı olup cevaplarsanız çok sevinirim, kolay gelsin, iyi günler.	Yaz okulu bölüm derslerine erişim sırasında aldığınız hata mesajı yazılımsal bir sorun olabilir. Bu durumda, öğrenci işlerine başvurarak durumu bildirmeniz ve sorunun çözümü için yardım talep etmeniz gerekecektir.
19	Merhaba ben btu tek ders sınavına gireceğim ama hangi şubede olduğumu bilmiyorum nasıl gireceğim?	Tek ders sınavına gireceğiniz şubeyi bilmiyorsanız, öğrenci işlerine başvurarak hangi şubede sınava gireceğinizi öğrenebilirsiniz. Bu bilgi genellikle sistemde yer alır ve size yardımcı olabilecek birimlerden alınabilir.
20	Merhabalar. BTU sınavı için Eğitim Fakültesi'nde olan, B205 numaralı bilgisayar laboratuvarında sınava girebileceğimi söylemiştiniz. Hocama sordum. Sizin izin vermeniz gerektiğini söyledi. Bu arada bilgisayar laboratuvarındaki internet erişimi herhangi bir şifre istiyor mu yoksa direkt bağlanabilir mi? Teşekkür ederim, sağlıklı günler dilerim.	Eğitim Fakültesi'nde B205 numaralı bilgisayar laboratuvarında sınava girecekseniz, izin almak için ilgili birimle iletişime geçmelisiniz. Ayrıca laboratuvar internet erişimi hakkında bilgi almak için de aynı şekilde iletişim kurmanız faydalı olacaktır; genelde laboratuvarlar şifreli ya da şifresiz internet erişimi sunar.
21	Merhabalar, benim 16 Mayıs'ta sabah saatlerinde sınavım var ve 1 saat sürüyor. Geriye BTU sınavına 45 dakika kalıyor ve eve yetişmem imkansız. Acaba nereden sınava girebilirim? Yardımcı olur musunuz? Teşekkür ederim.	16 Mayıs'ta sabah saatlerinde bir sınavınız var ve BTU sınavına 45 dakika kala yetişemeyeceğinizi belirtiyorsunuz. Bu durumda, sınavı başka bir yerde (örneğin, kampüs dışında) yapma talebinde bulunabilirsiniz. Öğrenci işlerine veya ilgili bölümle iletişime geçerek alternatif bir sınav yeri talep edebilirsiniz.
22	Selamlar.Ben dün BTU muafiyet sınavı için form doldurmuştum. Toplamda 7 soruya cevap verdim ve aniden kapatmam gerekti. Toplamda 7 soru muydu yoksa kaçırdığım bi soru var mı ? Çok teşekkür ederim.	BTU muafiyet sınavında toplamda 7 soruya cevap verdikten sonra aniden kapattığınız için kaçırdığınız bir soru olup olmadığını merak ediyorsanız, genellikle bu tür sınavlar belirli bir soru sayısıyla sınırlıdır. Ancak, kesin bilgi için muafiyet sınavını düzenleyen birimle iletişime geçmeniz önerilir.
23	İyi günler 26 ocakta yapılacak olan BTU dersinin muafiyet sınavına girmek istiyorum ancak BUOBS ta verilen şifre microsoft teams te kullanılamıyor. Bunun ile ilgili nerden yardım alabilirim	26 Ocak'ta yapılacak BTU dersinin muafiyet sınavı için BUOBS'ta verilen şifrenin Microsoft Teams'te kullanılamaması durumunda, IT destek birimiyle iletişime geçmeniz gerekecektir. Şifre sıfırlama veya yeni bir şifre talebi için öğrenci işlerine başvurabilirsiniz.
24	BTU 32.şubede bulunmaktayım ama sınav esnasında 30. Şubeyi yanlışlıkla girmiş bulunmaktayım bunun için ne yapabilirim	BTU 32. şubede bulunduğunuz halde sınav esnasında yanlışlıkla 30. şubeyi girdiyseniz, hemen öğrenci işlerine başvurarak durumu bildirmeniz önemlidir. Yanlış girişin düzeltilmesi için resmi bir talep oluşturmalısınız.
25	BTU dersimde 32. Şubede bulunmaktayım ama sınav sisteminde yanlışlıkla 30. Şubeyi girmiş bulunmaktayım ne yapabilirim	BTU dersinizde 32. şubede bulunmanıza rağmen sınav sisteminde yanlışlıkla 30. şubeyi girdiyseniz, bu durumu öğrenci işlerine bildirerek düzeltme talebinde bulunmalısınız. Yanlış şube kaydı, sınav sonuçlarınızı etkileyebilir.
26	BTU100-21 dersinden nolu Rukiye Sare MURAT adlı öğrenciyim. Yarın btu sınavım var ve herhangi bir salona atanmamışım. Gereğinin yapılmasını arz ederim.	Rukiye Sare Murat olarak BTU sınavınıza herhangi bir salona atanmadığınızı belirtiyorsunuz. Bu durumda, öğrenci işlerine başvurarak acilen salon atamanızın yapılmasını talep etmelisiniz
27	iyi günler btu sınavı için kanallar açılmış kendi hocama kanala alınmadığımı söyledim halledicem demişti ama hala kanala halledilmedi herhangi br kanala alınmadım	BTU sınavı için kanallar açıldığı halde hala herhangi bir kanala alınmadıysanız, öğretim elemanınıza tekrar hatırlatmanız ve durumu netleştirmeniz önemlidir. Ayrıca öğrenci işlerine de başvurarak yardım isteyebilirsiniz.
28	merhabalar iyi günler btu final sınavı için teamste kanallar açılmış arkadaşlarım o kanallara eklendi fakat henüz ben bir kanala eklenmedim	BTU final sınavı için arkadaşlarınız kanallara eklenmişken siz hala eklenmediyseniz, öğretim elemanınıza durumu bildirin ve öğrenci işlerine de başvurarak çözüm talep edin.
29	yarın btu sınavım var ve hiçbir kanala alınmadım birkaç gün önce hocama söylemiştim halledicem demişti ama halletmedi lütfen yardımcı olur musunuz	Yarın BTU sınavınız var ve hiçbir kanala alınmadıysanız, öğretim elemanınıza tekrar hatırlatmanız ve öğrenci işlerine başvurmanız gerekmektedir. Bu durumun acil çözülmesi için resmi bir talep oluşturmalısınız.
	afraa	ماعندك موضوع ساي 
	rawan	أنتي برضو ما عندك موضوع 
